Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.18,-.24,-.09,-.16,-.10,-.21,-.18,-.10,-.14,-.24,-.22,-.18,-.17,***,***,-.12,-.16,-.20
1881,-.20,-.14,.03,.05,.06,-.19,.00,-.03,-.15,-.22,-.18,-.07,-.09,-.10,-.17,.05,-.07,-.18
1882,.16,.14,.04,-.16,-.14,-.22,-.16,-.08,-.15,-.23,-.17,-.36,-.11,-.09,.08,-.08,-.15,-.18
1883,-.29,-.37,-.12,-.19,-.18,-.07,-.07,-.14,-.22,-.11,-.24,-.11,-.18,-.20,-.34,-.16,-.09,-.19
1884,-.13,-.08,-.36,-.40,-.33,-.35,-.33,-.28,-.27,-.25,-.33,-.31,-.28,-.27,-.11,-.37,-.32,-.28
1885,-.58,-.33,-.26,-.42,-.45,-.43,-.33,-.31,-.29,-.23,-.24,-.10,-.33,-.35,-.41,-.38,-.36,-.25
1886,-.44,-.51,-.43,-.28,-.24,-.35,-.18,-.31,-.24,-.28,-.27,-.25,-.31,-.30,-.35,-.32,-.28,-.26
1887,-.72,-.57,-.35,-.35,-.30,-.25,-.26,-.35,-.26,-.35,-.26,-.33,-.36,-.36,-.51,-.33,-.29,-.29
1888,-.34,-.36,-.41,-.20,-.22,-.17,-.10,-.16,-.12,.02,.03,-.04,-.17,-.20,-.34,-.28,-.14,-.02
1889,-.09,.17,.06,.10,-.01,-.10,-.08,-.20,-.24,-.25,-.33,-.29,-.10,-.08,.01,.05,-.13,-.27
1890,-.42,-.44,-.40,-.30,-.39,-.24,-.28,-.39,-.36,-.25,-.43,-.31,-.35,-.35,-.38,-.36,-.30,-.35
1891,-.33,-.47,-.18,-.27,-.16,-.21,-.17,-.17,-.15,-.21,-.31,-.04,-.22,-.24,-.37,-.20,-.18,-.22
1892,-.28,-.11,-.40,-.33,-.23,-.22,-.31,-.27,-.16,-.14,-.42,-.38,-.27,-.24,-.14,-.32,-.27,-.24
1893,-.81,-.56,-.22,-.27,-.33,-.25,-.14,-.24,-.22,-.19,-.19,-.34,-.31,-.32,-.58,-.27,-.21,-.20
1894,-.53,-.31,-.23,-.45,-.32,-.41,-.25,-.25,-.29,-.24,-.27,-.22,-.31,-.32,-.39,-.34,-.30,-.26
1895,-.42,-.43,-.34,-.22,-.28,-.21,-.18,-.18,-.12,-.11,-.17,-.14,-.23,-.24,-.36,-.28,-.19,-.13
1896,-.21,-.12,-.26,-.30,-.15,-.11,-.02,-.05,-.07,.07,-.04,-.04,-.11,-.12,-.16,-.24,-.06,-.01
1897,-.14,-.16,-.13,-.02,-.01,-.11,-.02,-.09,-.08,-.12,-.18,-.20,-.11,-.09,-.11,-.05,-.07,-.13
1898,-.02,-.30,-.51,-.30,-.30,-.19,-.22,-.26,-.21,-.34,-.38,-.23,-.27,-.27,-.17,-.37,-.22,-.31
1899,-.16,-.38,-.36,-.20,-.23,-.32,-.16,-.08,-.05,-.04,.13,-.26,-.18,-.17,-.26,-.26,-.19,.01
1900,-.35,-.05,.01,-.08,-.08,-.09,-.12,-.08,-.05,.10,-.06,-.06,-.08,-.09,-.22,-.05,-.10,-.01
1901,-.21,-.11,.06,-.03,-.15,-.12,-.14,-.20,-.22,-.29,-.18,-.27,-.16,-.14,-.13,-.04,-.16,-.23
1902,-.17,-.06,-.27,-.28,-.32,-.30,-.27,-.29,-.28,-.28,-.34,-.40,-.27,-.26,-.17,-.29,-.29,-.30
1903,-.23,-.05,-.22,-.40,-.39,-.41,-.35,-.45,-.49,-.47,-.42,-.50,-.36,-.36,-.23,-.34,-.40,-.46
1904,-.62,-.57,-.47,-.50,-.51,-.48,-.50,-.49,-.55,-.38,-.17,-.32,-.46,-.48,-.56,-.49,-.49,-.37
