-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2021 through 01/05/2021 
Location: Latitude  13.7945   Longitude 17.8517 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 316.6 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,T2M
2021,1,1,1,19.19
2021,1,1,2,18.54
2021,1,1,3,17.94
2021,1,1,4,17.35
2021,1,1,5,16.8
2021,1,1,6,16.98
2021,1,1,7,19.19
2021,1,1,8,22.06
2021,1,1,9,26.63
2021,1,1,10,31.21
2021,1,1,11,33.39
2021,1,1,12,34.54
2021,1,1,13,35.08
2021,1,1,14,35.1
2021,1,1,15,34.62
2021,1,1,16,32.73
2021,1,1,17,29.28
2021,1,1,18,26.87
2021,1,1,19,25.38
2021,1,1,20,24.29
2021,1,1,21,23.32
2021,1,1,22,22.44
2021,1,1,23,21.58
2021,1,2,0,20.8
2021,1,2,1,20.04
2021,1,2,2,19.31
2021,1,2,3,18.62
2021,1,2,4,17.99
2021,1,2,5,17.43
2021,1,2,6,17.67
2021,1,2,7,20.1
2021,1,2,8,23.03
2021,1,2,9,27.71
2021,1,2,10,32.69
2021,1,2,11,34.76
2021,1,2,12,35.8
2021,1,2,13,36.28
2021,1,2,14,36.29
2021,1,2,15,35.77
2021,1,2,16,33.52
2021,1,2,17,29.22
2021,1,2,18,27.54
2021,1,2,19,26.52
2021,1,2,20,25.41
2021,1,2,21,24.28
2021,1,2,22,23.27
2021,1,2,23,22.4
2021,1,3,0,21.65
2021,1,3,1,20.96
2021,1,3,2,20.31
2021,1,3,3,19.66
2021,1,3,4,19.02
2021,1,3,5,18.39
2021,1,3,6,18.39
2021,1,3,7,20.37
2021,1,3,8,23.57
2021,1,3,9,28.55
2021,1,3,10,32.82
2021,1,3,11,34.8
2021,1,3,12,35.96
2021,1,3,13,36.46
2021,1,3,14,36.35
2021,1,3,15,35.65
2021,1,3,16,32.99
2021,1,3,17,28.96
2021,1,3,18,27.33
2021,1,3,19,26.08
2021,1,3,20,25.08
2021,1,3,21,24.21
2021,1,3,22,23.29
2021,1,3,23,22.31
2021,1,4,0,21.45
2021,1,4,1,20.76
2021,1,4,2,20.16
2021,1,4,3,19.55
2021,1,4,4,18.83
2021,1,4,5,18.19
2021,1,4,6,18.3
2021,1,4,7,20.44
2021,1,4,8,23.28
2021,1,4,9,28.12
2021,1,4,10,33.13
2021,1,4,11,35.01
2021,1,4,12,36.01
2021,1,4,13,36.39
2021,1,4,14,36.2
2021,1,4,15,35.43
2021,1,4,16,32.58
2021,1,4,17,28.07
2021,1,4,18,26.42
2021,1,4,19,25.34
2021,1,4,20,24.34
2021,1,4,21,23.37
2021,1,4,22,22.43
2021,1,4,23,21.53
2021,1,5,0,20.65
2021,1,5,1,19.77
2021,1,5,2,18.9
2021,1,5,3,18.12
2021,1,5,4,17.43
2021,1,5,5,16.79
2021,1,5,6,16.96
2021,1,5,7,19.51
2021,1,5,8,22.61
2021,1,5,9,27.27
2021,1,5,10,31.78
2021,1,5,11,34.93
2021,1,5,12,36.12
2021,1,5,13,36.58
2021,1,5,14,36.44
2021,1,5,15,35.7
2021,1,5,16,32.33
2021,1,5,17,28.05
2021,1,5,18,26.45
2021,1,5,19,25.42
2021,1,5,20,24.53
2021,1,5,21,23.68
2021,1,5,22,22.83
2021,1,5,23,21.99
2021,1,6,0,21.15
